REINVEST,06/16/21,C,ISHARES CORE S&P 500 ETF,0.00292
DIVIDEND,06/16/21,C,ISHARES CORE S&P 500 ETF,1.2248
REINVEST,06/16/21,C,ISHARES TR,0.00026
DIVIDEND,06/16/21,C,ISHARES TR,1.0883
REINVEST,06/24/21,C,ETF MANAGERS TRUST,0.00436
DIVIDEND,06/24/21,C,ETF MANAGERS TRUST,0.06
REINVEST,06/28/21,C,SCHWAB STRATEGIC TR,0.01995
DIVIDEND,06/28/21,C,SCHWAB STRATEGIC TR,0.5396
REINVEST,06/29/21,C,VANGUARD MEGA CAP ETF,0.00696
DIVIDEND,06/29/21,C,VANGUARD MEGA CAP ETF,0.4653
SUB PAY,06/24/21,O,ETF MANAGERS TRUST,0.06
JOURNAL,06/24/21,O,XFER CASH FROM FFS,$0.06
